"Page","Source","Review priority","Status","Direct imports","Next acceptance checks"
"AccessGrantsManager","src/pages/AccessGrantsManager.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../contexts/AuthContext; ../lib/moduleCatalog; ../lib/permissionMatrix; ../lib/api/users; ../lib/api/accessGrants; ../lib/safeError; ../components/ui/TablePagination","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"AccidentCases","src/pages/AccidentCases.jsx","P2 workflow review","Not end-to-end verified","react; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/accidentCaseBoard; ../lib/accidentCaseAnalytics; ../components/accidents/CaseTeamInbox; ../lib/reportColors; ../lib/safeError","Exercise primary action, denied access, scope change, error/retry and filtered export."
"AccidentCaseTimeline","src/pages/AccidentCaseTimeline.jsx","P1 candidate","Not end-to-end verified","react; react-router-dom; lucide-react; ../lib/supabase; ../components/accidents/CaseSlaHeader; ../lib/api/accidentCase; ../lib/api/caseTimelineFeed; ../lib/api/accidentCommunications; ../lib/caseTimelineFeed; ../lib/accidentCaseVocab; ../lib/safeError; ../contexts/AuthContext","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Exercise primary action, denied access, scope change, error/retry and filtered export."
"AccidentPortalView","src/pages/AccidentPortalView.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom","Exercise primary action, denied access, scope change, error/retry and filtered export."
"Accidents","src/pages/Accidents.jsx","P1 candidate","Not end-to-end verified","react; react-router-dom; ../hooks/useFilterState; lucide-react; ../lib/accidentCaseVocab; ../components/accidents/VehicleMasterCard; ../components/illustrations; ../lib/brand/vehicleArt; framer-motion; ../components/ui/PageHeader; ../components/ui/DateField; ../components/ui/ActionMenu; ../components/EmptyState; ../lib/supabase; ../components/ui/EnterpriseTable; ../hooks/useReportMeta; ../lib/api/accidents; ../lib/api/assets; ../lib/api/sites; ../contexts/AuthContext; ../contexts/SettingsContext; ../lib/exportUtils; ../lib/emailService; ../lib/formatters; ../lib/storageRefs; react-chartjs-2; chart.js; ../lib/accidentVocab; ../lib/accidentReport; ../lib/reportColors; ../lib/api/accidentReportTemplates; ../lib/api/scheduledReports; ../lib/safeError; ../lib/auditLogger; ../lib/claimsAnalytics; ../lib/chartCapture; ../components/accidents/AccidentIntelligencePanel; ../components/accidents/ClaimProgressBoard; ../lib/accidentAnalytics; ../lib/accidentWorkflow; ../lib/accidentStages; ../lib/api/accidentWorkflow; ../lib/accidentFormVisibility","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Exercise primary action, denied access, scope change, error/retry and filtered export."
"AccidentWorkflowSettings","src/pages/AccidentWorkflowSettings.jsx","P2 workflow review","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../components/ui/TablePagination; ../components/ui/Modal; ../contexts/AuthContext; ../lib/api/accidentWorkflow; ../lib/accidentWorkflow; ../lib/safeError","Exercise primary action, denied access, scope change, error/retry and filtered export."
"ActionCenter","src/pages/ActionCenter.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/actionCenter; ../lib/actionCenter; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"AdminConsole","src/pages/AdminConsole.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; lucide-react; ../contexts/AuthContext; ../contexts/SettingsContext; ../lib/supabase; ../components/ui/PageHeader","Exercise primary action, denied access, scope change, error/retry and filtered export."
"AdvancedAnalytics","src/pages/AdvancedAnalytics.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; lucide-react; ../components/ui/Skeleton; chart.js; react-chartjs-2; ../lib/supabase; ../contexts/SettingsContext; ../contexts/LanguageContext; ../lib/exportUtils; ../components/ui/PageHeader; ../components/ui/SectionTabs; ../lib/analyticsEngine; ../lib/fetchAll; ../lib/formatters; ../lib/safeError; ../lib/useLatestRequest; ../components/ui/TablePagination","Exercise primary action, denied access, scope change, error/retry and filtered export."
"AdvancedSearch","src/pages/AdvancedSearch.jsx","P1 candidate","Not end-to-end verified","react; ../components/ui/TablePagination; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/advancedSearch; ../lib/advancedSearch; ../lib/exportUtils; ../lib/safeError","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Exercise primary action, denied access, scope change, error/retry and filtered export."
"AiAdministration","src/pages/AiAdministration.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ai/AiOpsTabs; ../components/ui/PageHeader; ../components/ui/TablePagination; ../contexts/AuthContext; ../contexts/SettingsContext; ../lib/supabase; ../lib/exportUtils; ../lib/safeError; ../lib/aiAdmin; ../lib/api/aiModels; ../lib/api/aiPrompts; ../lib/api/aiBudgets; ../lib/api/aiFeedback; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"AiAnalytics","src/pages/AiAnalytics.jsx","P2 workflow review","Not end-to-end verified","react; ../lib/api/aiAnalytics; ../contexts/SettingsContext; ../lib/anomalyEngine; ../lib/aiAnalytics; ../lib/aiRouter; ../lib/exportUtils; ../lib/safeError; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../components/ui/TablePagination","Exercise primary action, denied access, scope change, error/retry and filtered export."
"AiCommandCenter","src/pages/AiCommandCenter.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; lucide-react; ../components/ui/PageHeader; ../lib/aiRouter; ../lib/aiOrchestratorClient; ../contexts/SettingsContext; ../contexts/TenantContext; ../lib/exportUtils","Exercise primary action, denied access, scope change, error/retry and filtered export."
"AiCostMonitor","src/pages/AiCostMonitor.jsx","P2 workflow review","Not end-to-end verified","react; lucide-react; ../lib/supabase; ../lib/api; ../lib/safeError; ../contexts/AuthContext; ../components/ui/PageHeader; ../components/ui/EnterpriseTable; ../hooks/useReportMeta","Exercise primary action, denied access, scope change, error/retry and filtered export."
"Alerts","src/pages/Alerts.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; framer-motion; lucide-react; ../lib/supabase; ../lib/safeUrl; ../contexts/SettingsContext; ../contexts/LanguageContext; ../lib/alertEngine; ../components/ui/PageHeader; ../components/ui/Skeleton; ../lib/cn; ../lib/safeError","Exercise primary action, denied access, scope change, error/retry and filtered export."
"AlertThresholds","src/pages/AlertThresholds.jsx","P2 workflow review","Not end-to-end verified","react; lucide-react; ../lib/api/alertThresholds; ../lib/safeError; ../contexts/AuthContext; date-fns","Exercise primary action, denied access, scope change, error/retry and filtered export."
